01aC2ikO4Xgb2LUpf9JfKp,Gary Clark Jr.,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Praesent aliquam consectetur interdum. Mauris nisi justo, accumsan vitae mauris ac, sollicitudin tincidunt lacus. Cras suscipit lorem ex, ac feugiat ipsum rutrum placerat. Maecenas bibendum ipsum non augue consectetur sollicitudin porttitor."
0K1q0nXQ8is36PzOKAMbNe,Spoon,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Praesent aliquam consectetur interdum. Mauris nisi justo, accumsan vitae mauris ac, sollicitudin tincidunt lacus. Cras suscipit lorem ex, ac feugiat ipsum rutrum placerat. Maecenas bibendum ipsum non augue consectetur sollicitudin porttitor."
0U7iI0Dk4Ojvi17nZboNO4,Vacations,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Praesent aliquam consectetur interdum. Mauris nisi justo, accumsan vitae mauris ac, sollicitudin tincidunt lacus. Cras suscipit lorem ex, ac feugiat ipsum rutrum placerat. Maecenas bibendum ipsum non augue consectetur sollicitudin porttitor."
16GcWuvvybAoaHr0NqT8Eh,Alabama Shakes,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Praesent aliquam consectetur interdum. Mauris nisi justo, accumsan vitae mauris ac, sollicitudin tincidunt lacus. Cras suscipit lorem ex, ac feugiat ipsum rutrum placerat. Maecenas bibendum ipsum non augue consectetur sollicitudin porttitor."
26T3LtbuGT1Fu9m0eRq5X3,Cage The Elephant,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Praesent aliquam consectetur interdum. Mauris nisi justo, accumsan vitae mauris ac, sollicitudin tincidunt lacus. Cras suscipit lorem ex, ac feugiat ipsum rutrum placerat. Maecenas bibendum ipsum non augue consectetur sollicitudin porttitor."
2d0hyoQ5ynDBnkvAbJKORj,Rage Against The Machine,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Praesent aliquam consectetur interdum. Mauris nisi justo, accumsan vitae mauris ac, sollicitudin tincidunt lacus. Cras suscipit lorem ex, ac feugiat ipsum rutrum placerat. Maecenas bibendum ipsum non augue consectetur sollicitudin porttitor."
3GBPw9NK25X1Wt2OUvOwY3,Jack Johnson,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Praesent aliquam consectetur interdum. Mauris nisi justo, accumsan vitae mauris ac, sollicitudin tincidunt lacus. Cras suscipit lorem ex, ac feugiat ipsum rutrum placerat. Maecenas bibendum ipsum non augue consectetur sollicitudin porttitor."
3WaJSfKnzc65VDgmj2zU8B,Interpol,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Praesent aliquam consectetur interdum. Mauris nisi justo, accumsan vitae mauris ac, sollicitudin tincidunt lacus. Cras suscipit lorem ex, ac feugiat ipsum rutrum placerat. Maecenas bibendum ipsum non augue consectetur sollicitudin porttitor."
3XHO7cRUPCLOr6jwp8vsx5,alt-J,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Praesent aliquam consectetur interdum. Mauris nisi justo, accumsan vitae mauris ac, sollicitudin tincidunt lacus. Cras suscipit lorem ex, ac feugiat ipsum rutrum placerat. Maecenas bibendum ipsum non augue consectetur sollicitudin porttitor."
3mVWMgLc7bcyCBtL2ymZwK,The Arcs,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Praesent aliquam consectetur interdum. Mauris nisi justo, accumsan vitae mauris ac, sollicitudin tincidunt lacus. Cras suscipit lorem ex, ac feugiat ipsum rutrum placerat. Maecenas bibendum ipsum non augue consectetur sollicitudin porttitor."
3vbKDsSS70ZX9D2OcvbZmS,Beck,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Praesent aliquam consectetur interdum. Mauris nisi justo, accumsan vitae mauris ac, sollicitudin tincidunt lacus. Cras suscipit lorem ex, ac feugiat ipsum rutrum placerat. Maecenas bibendum ipsum non augue consectetur sollicitudin porttitor."
3zmfs9cQwzJl575W1ZYXeT,Men I Trust,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Praesent aliquam consectetur interdum. Mauris nisi justo, accumsan vitae mauris ac, sollicitudin tincidunt lacus. Cras suscipit lorem ex, ac feugiat ipsum rutrum placerat. Maecenas bibendum ipsum non augue consectetur sollicitudin porttitor."
4F84IBURUo98rz4r61KF70,The White Stripes,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Praesent aliquam consectetur interdum. Mauris nisi justo, accumsan vitae mauris ac, sollicitudin tincidunt lacus. Cras suscipit lorem ex, ac feugiat ipsum rutrum placerat. Maecenas bibendum ipsum non augue consectetur sollicitudin porttitor."
4FZ3j1oH43e7cukCALsCwf,Jack White,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Praesent aliquam consectetur interdum. Mauris nisi justo, accumsan vitae mauris ac, sollicitudin tincidunt lacus. Cras suscipit lorem ex, ac feugiat ipsum rutrum placerat. Maecenas bibendum ipsum non augue consectetur sollicitudin porttitor."
4pejUc4iciQfgdX6OKulQn,Queens of the Stone Age,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Praesent aliquam consectetur interdum. Mauris nisi justo, accumsan vitae mauris ac, sollicitudin tincidunt lacus. Cras suscipit lorem ex, ac feugiat ipsum rutrum placerat. Maecenas bibendum ipsum non augue consectetur sollicitudin porttitor."
4wo1267SJuUfHgasdlfNfc,The Raconteurs,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Praesent aliquam consectetur interdum. Mauris nisi justo, accumsan vitae mauris ac, sollicitudin tincidunt lacus. Cras suscipit lorem ex, ac feugiat ipsum rutrum placerat. Maecenas bibendum ipsum non augue consectetur sollicitudin porttitor."
56ZTgzPBDge0OvCGgMO3OY,Beach House,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Praesent aliquam consectetur interdum. Mauris nisi justo, accumsan vitae mauris ac, sollicitudin tincidunt lacus. Cras suscipit lorem ex, ac feugiat ipsum rutrum placerat. Maecenas bibendum ipsum non augue consectetur sollicitudin porttitor."
5INjqkS1o8h1imAzPqGZBb,Tame Impala,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Praesent aliquam consectetur interdum. Mauris nisi justo, accumsan vitae mauris ac, sollicitudin tincidunt lacus. Cras suscipit lorem ex, ac feugiat ipsum rutrum placerat. Maecenas bibendum ipsum non augue consectetur sollicitudin porttitor."
6YWdHD3R863Apw1hkx3BwC,Dan Auerbach,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Praesent aliquam consectetur interdum. Mauris nisi justo, accumsan vitae mauris ac, sollicitudin tincidunt lacus. Cras suscipit lorem ex, ac feugiat ipsum rutrum placerat. Maecenas bibendum ipsum non augue consectetur sollicitudin porttitor."
6l3HvQ5sa6mXTsMTB19rO5,J. Cole,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Praesent aliquam consectetur interdum. Mauris nisi justo, accumsan vitae mauris ac, sollicitudin tincidunt lacus. Cras suscipit lorem ex, ac feugiat ipsum rutrum placerat. Maecenas bibendum ipsum non augue consectetur sollicitudin porttitor."
6olE6TJLqED3rqDCT0FyPh,Nirvana,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Praesent aliquam consectetur interdum. Mauris nisi justo, accumsan vitae mauris ac, sollicitudin tincidunt lacus. Cras suscipit lorem ex, ac feugiat ipsum rutrum placerat. Maecenas bibendum ipsum non augue consectetur sollicitudin porttitor."
73sIBHcqh3Z3NyqHKZ7FOL,Childish Gambino,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Praesent aliquam consectetur interdum. Mauris nisi justo, accumsan vitae mauris ac, sollicitudin tincidunt lacus. Cras suscipit lorem ex, ac feugiat ipsum rutrum placerat. Maecenas bibendum ipsum non augue consectetur sollicitudin porttitor."
7Ln80lUS6He07XvHI8qqHH,Arctic Monkeys,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Praesent aliquam consectetur interdum. Mauris nisi justo, accumsan vitae mauris ac, sollicitudin tincidunt lacus. Cras suscipit lorem ex, ac feugiat ipsum rutrum placerat. Maecenas bibendum ipsum non augue consectetur sollicitudin porttitor."
7mnBLXK823vNxN3UWB7Gfz,The Black Keys,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Praesent aliquam consectetur interdum. Mauris nisi justo, accumsan vitae mauris ac, sollicitudin tincidunt lacus. Cras suscipit lorem ex, ac feugiat ipsum rutrum placerat. Maecenas bibendum ipsum non augue consectetur sollicitudin porttitor."
